"Neighbor","Role","Joined Neighborhood","Strikes","Next Strike Expiration","Number of Derbies","Last Derby","Average Number of Points"
"Kemzow","Leader","4/1/2022","0","-","117","9/3/2024","3613.7"
"Nostradavemus","Elder","4/1/2022","0","-","116","9/3/2024","3452.7"
"Stardew","Co-Leader","4/1/2022","0","-","59","6/18/2024","3445.7"
"Wheaton","Co-Leader","4/1/2022","0","-","84","8/20/2024","3051.3"
"Couchpotatoe918","Elder","5/9/2022","0","-","68","8/27/2024","3375.7"
"Baker","Member","8/7/2022","0","-","83","9/3/2024","3137.1"
"Sagar","Elder","4/1/2022","0","-","54","9/3/2024","3733.4"
"KY","Member","10/7/2022","0","-","23","3/19/2024","3157.4"
"Gracie222","Elder","11/8/2022","0","-","46","6/18/2024","3386.3"
"Nanda","Member","12/5/2022","0","-","37","3/19/2024","3030.5"
"cara","Member","1/16/2023","0","-","71","9/3/2024","3371.7"
"Bethlehem","Elder","4/1/2022","0","-","72","8/20/2024","3038.8"
"Taylor","Member","3/27/2023","0","-","48","8/27/2024","3471.9"
"froggy","Member","4/3/2023","0","-","34","4/9/2024","3609.3"
"Brewstorm","Member","8/28/2023","0","-","50","7/30/2024","3461.7"
"Dakind Grinds","Member","10/26/2023","0","-","40","7/30/2024","3692.2"
"Ram Ranch","Member","1/8/2024","0","-","20","9/3/2024","2879.5"
"SenKyo","Member","1/22/2024","0","-","30","9/3/2024","3417.5"
"Canadian Farmers","Member","2/11/2024","0","-","16","7/16/2024","3204.4"
"BrewTwo","Member","5/20/2024","0","-","9","7/30/2024","3670.6"
